devicenum,stadatastreamid,dssensorid,dsobspropertyid,dsname,dsdesc,dsmunit,dsmsymbol,dsmdefinition,dsobstype,sensortype,sensorname
2,,552682f6-6845-11e8-bc31-0f7f6950ff18,34892f54-6844-11e8-bc2f-0b939e986178,Small Thing 1 (Ozone),Un-calibrated Datastream for Small Thing 1 (Ozone),Parts per million,ppm,http://unitsofmeasure.org/ucum.html#section-Derived-Unit-Atoms,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,mq131,ozone
2,,e0e54046-6847-11e8-b98f-a77816df33a8,2b14da44-6845-11e8-bc30-f78c4958fd87,Small Thing 1 (Air temperature),Un-calibrated Datastream for Small Thing 1 (Air temperature),degree Celsius,°C,http://unitsofmeasure.org/ucum.html#para-30,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,dht11,air_temperature
2,,e0e54046-6847-11e8-b98f-a77816df33a8,bf1f4f22-6844-11e8-b98e-332009b4f185,Small Thing 1 (Relative Humidity),Un-calibrated Datastream for Small Thing 1 (Relative Humidity),Percent,%,http://unitsofmeasure.org/ucum.html#dimless,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,dht11,relative_humidity
3,,552682f6-6845-11e8-bc31-0f7f6950ff18,34892f54-6844-11e8-bc2f-0b939e986178,Small Thing 1 (Ozone),Un-calibrated Datastream for Small Thing 1 (Ozone),Parts per million,ppm,http://unitsofmeasure.org/ucum.html#section-Derived-Unit-Atoms,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,mq131,ozone
3,,e0e54046-6847-11e8-b98f-a77816df33a8,2b14da44-6845-11e8-bc30-f78c4958fd87,Small Thing 1 (Air temperature),Un-calibrated Datastream for Small Thing 1 (Air temperature),degree Celsius,°C,http://unitsofmeasure.org/ucum.html#para-30,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,dht11,air_temperature
3,,e0e54046-6847-11e8-b98f-a77816df33a8,bf1f4f22-6844-11e8-b98e-332009b4f185,Small Thing 1 (Relative Humidity),Un-calibrated Datastream for Small Thing 1 (Relative Humidity),Percent,%,http://unitsofmeasure.org/ucum.html#dimless,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,dht11,relative_humidity
4,,552682f6-6845-11e8-bc31-0f7f6950ff18,34892f54-6844-11e8-bc2f-0b939e986178,Small Thing 1 (Ozone),Un-calibrated Datastream for Small Thing 1 (Ozone),Parts per million,ppm,http://unitsofmeasure.org/ucum.html#section-Derived-Unit-Atoms,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,mq131,ozone
4,,e0e54046-6847-11e8-b98f-a77816df33a8,2b14da44-6845-11e8-bc30-f78c4958fd87,Small Thing 1 (Air temperature),Un-calibrated Datastream for Small Thing 1 (Air temperature),degree Celsius,°C,http://unitsofmeasure.org/ucum.html#para-30,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,dht11,air_temperature
4,,e0e54046-6847-11e8-b98f-a77816df33a8,bf1f4f22-6844-11e8-b98e-332009b4f185,Small Thing 1 (Relative Humidity),Un-calibrated Datastream for Small Thing 1 (Relative Humidity),Percent,%,http://unitsofmeasure.org/ucum.html#dimless,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,dht11,relative_humidity
5,,552682f6-6845-11e8-bc31-0f7f6950ff18,34892f54-6844-11e8-bc2f-0b939e986178,Small Thing 1 (Ozone),Un-calibrated Datastream for Small Thing 1 (Ozone),Parts per million,ppm,http://unitsofmeasure.org/ucum.html#section-Derived-Unit-Atoms,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,mq131,ozone
