devicenum,multidatastreamnum,dsobspropertyid,dsobsproperty,dsmunit,dsmsymbol,dsmdefinition,dsobstype,yml
1,1,339b0f5c-168e-11e8-b2cf-bb9a4683d3d9,air_temperature,degree Celsius,¡C,http://unitsofmeasure.org/ucum.html#para-30,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,TRUE
1,1,b6cca570-168e-11e8-bddf-3735bb1b895e,relative_humidity,Percent,%,http://unitsofmeasure.org/ucum.html#dimless,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,TRUE
1001,2,75038b68-d646-11e8-940c-2ba92f8fc616,pm1,Microgram per cubic meter, µg/m3,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.files/fileID/14285,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,TRUE
1001,2,75a0e64c-d646-11e8-940d-67e7fcb2cbad,pm2.5,Microgram per cubic meter, µg/m3,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.files/fileID/14285,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,TRUE
1001,2,75e86d28-d646-11e8-940e-7fa44e88ecb3,pm10,Microgram per cubic meter, µg/m3,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.files/fileID/14285,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,TRUE
1001,3,75a0e64c-d646-11e8-940d-67e7fcb2cbad,pm2.5,Microgram per cubic meter, µg/m3,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.files/fileID/14285,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,FALSE
1001,3,75e86d28-d646-11e8-940e-7fa44e88ecb3,pm10,Microgram per cubic meter, µg/m3,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.files/fileID/14285,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,FALSE
1001,8,c8ec4248-431f-460b-8000-ac70d618ea08,aqi_pm2.5,Integer index with range of 0-500,,https://en.wikipedia.org/wiki/Air_quality_index,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,FALSE
1001,8,09832277-05e2-48e1-8615-1b56ac58f967,aqi_pm10,Integer index with range of 0-500,,https://en.wikipedia.org/wiki/Air_quality_index,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,FALSE
1001,5,75038b68-d646-11e8-940c-2ba92f8fc616,pm1,Microgram per cubic meter, µg/m3,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.files/fileID/14285,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,TRUE
1001,5,75a0e64c-d646-11e8-940d-67e7fcb2cbad,pm2.5,Microgram per cubic meter, µg/m3,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.files/fileID/14285,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,TRUE
1001,5,75e86d28-d646-11e8-940e-7fa44e88ecb3,pm10,Microgram per cubic meter, µg/m3,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.files/fileID/14285,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,TRUE
1001,6,75a0e64c-d646-11e8-940d-67e7fcb2cbad,pm2.5,Microgram per cubic meter, µg/m3,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.files/fileID/14285,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,FALSE
1001,6,75e86d28-d646-11e8-940e-7fa44e88ecb3,pm10,Microgram per cubic meter, µg/m3,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.files/fileID/14285,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,FALSE
1001,7,c8ec4248-431f-460b-8000-ac70d618ea08,aqi_pm2.5,Integer index with range of 0-500,,https://en.wikipedia.org/wiki/Air_quality_index,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,FALSE
1001,7,09832277-05e2-48e1-8615-1b56ac58f967,aqi_pm10,Integer index with range of 0-500,,https://en.wikipedia.org/wiki/Air_quality_index,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,FALSE
