devicenum,deploybatch,deploydate,organization,site,address,locationid,stathingid,thname,thdesc,thnetid,thdeploytime,jwt_id,jwt_key
2,2,6/8/18,CGI,LDEQ,"700 Cajundome Blvd, Lafayette, LA 70506",19b03cc8-6848-11e8-b990-83288b7eb672,,Small Thing 2,"""Small Thing 2""",LEaRN AQ,2018-06-08T12:00:00-0500,,
3,2,6/8/18,CGI,LDEQ,"700 Cajundome Blvd, Lafayette, LA 70506",19b03cc8-6848-11e8-b990-83288b7eb672,,Small Thing 3,"""Small Thing 3""",LEaRN AQ,2018-06-08T12:00:00-0500,,
4,2,6/8/18,CGI,LDEQ,"700 Cajundome Blvd, Lafayette, LA 70506",19b03cc8-6848-11e8-b990-83288b7eb672,,Small Thing 4,"""Small Thing 4""",LEaRN AQ,2018-06-08T12:00:00-0500,,
5,2,6/8/18,CGI,LDEQ,"700 Cajundome Blvd, Lafayette, LA 70506",19b03cc8-6848-11e8-b990-83288b7eb672,,Small Thing 5,"""Small Thing 5""",LEaRN AQ,2018-06-08T12:00:00-0500,,
6,2,6/8/18,CGI,LDEQ,"700 Cajundome Blvd, Lafayette, LA 70506",19b03cc8-6848-11e8-b990-83288b7eb672,,Small Thing 6,"""Small Thing 6""",LEaRN AQ,2018-06-08T12:00:00-0500,,
7,2,6/8/18,CGI,LDEQ,"700 Cajundome Blvd, Lafayette, LA 70506",19b03cc8-6848-11e8-b990-83288b7eb672,,Small Thing 7,"""Small Thing 7""",LEaRN AQ,2018-06-08T12:00:00-0500,,
8,2,6/8/18,CGI,LDEQ,"700 Cajundome Blvd, Lafayette, LA 70506",19b03cc8-6848-11e8-b990-83288b7eb672,,Small Thing 8,"""Small Thing 8""",LEaRN AQ,2018-06-08T12:00:00-0500,,
9,2,6/8/18,CGI,LDEQ,"700 Cajundome Blvd, Lafayette, LA 70506",19b03cc8-6848-11e8-b990-83288b7eb672,,Small Thing 9,"""Small Thing 9""",LEaRN AQ,2018-06-08T12:00:00-0500,,
10,2,6/8/18,CGI,LDEQ,"700 Cajundome Blvd, Lafayette, LA 70506",19b03cc8-6848-11e8-b990-83288b7eb672,,Small Thing 10,"""Small Thing 10""",LEaRN AQ,2018-06-08T12:00:00-0500,,
11,2,6/8/18,CGI,LDEQ,"700 Cajundome Blvd, Lafayette, LA 70506",19b03cc8-6848-11e8-b990-83288b7eb672,,Small Thing 11,"""Small Thing 11""",LEaRN AQ,2018-06-08T12:00:00-0500,,
12,2,6/8/18,CGI,LDEQ,"700 Cajundome Blvd, Lafayette, LA 70506",19b03cc8-6848-11e8-b990-83288b7eb672,,Small Thing 12,"""Small Thing 12""",LEaRN AQ,2018-06-08T12:00:00-0500,,
13,2,6/8/18,CGI,LDEQ,"700 Cajundome Blvd, Lafayette, LA 70506",19b03cc8-6848-11e8-b990-83288b7eb672,,Small Thing 13,"""Small Thing 13""",LEaRN AQ,2018-06-08T12:00:00-0500,,
14,2,6/8/18,CGI,LDEQ,"700 Cajundome Blvd, Lafayette, LA 70506",19b03cc8-6848-11e8-b990-83288b7eb672,,Small Thing 14,"""Small Thing 14""",LEaRN AQ,2018-06-08T12:00:00-0500,,
15,2,6/8/18,CGI,LDEQ,"700 Cajundome Blvd, Lafayette, LA 70506",19b03cc8-6848-11e8-b990-83288b7eb672,,Small Thing 15,"""Small Thing 15""",LEaRN AQ,2018-06-08T12:00:00-0500,,
16,2,6/8/18,CGI,LDEQ,"700 Cajundome Blvd, Lafayette, LA 70506",19b03cc8-6848-11e8-b990-83288b7eb672,,Small Thing 16,"""Small Thing 16""",LEaRN AQ,2018-06-08T12:00:00-0500,,
17,2,6/8/18,CGI,LDEQ,"700 Cajundome Blvd, Lafayette, LA 70506",19b03cc8-6848-11e8-b990-83288b7eb672,,Small Thing 16,"""Small Thing 17""",LEaRN AQ,2018-06-08T12:00:00-0500,,
